Brands,Months,ARP,vs. Prior Period
#BlackSeries,08/2020,15.68491254326000,
#BlackSeries,09/2020,,-1
#BlackSeries,01/2021,13.611427572245100,
#BlackSeries,02/2021,11.873182017429200,-0.1277048675159060
#BlackSeries,03/2021,,-1
101 Cannabis Co.,11/2019,34.06666661325920,
101 Cannabis Co.,12/2019,,-1
101 Cannabis Co.,01/2020,34.13492912702110,
101 Cannabis Co.,02/2020,29.091388412408400,-0.14775307415594700
101 Cannabis Co.,03/2020,32.293497980939700,0.11007070281889800
101 Cannabis Co.,04/2020,32.934344142295,0.01984443313429570
101 Cannabis Co.,05/2020,34.44172516801050,0.04576927414138780
101 Cannabis Co.,06/2020,33.11449694116240,-0.03853547464227510
101 Cannabis Co.,07/2020,32.13140741306530,-0.0296875875796586
101 Cannabis Co.,08/2020,32.14638178434290,0.00046603533686016100
101 Cannabis Co.,09/2020,31.82714016746110,-0.009930872439189150
101 Cannabis Co.,10/2020,30.375107578097100,-0.04562246503217000
101 Cannabis Co.,11/2020,33.782933486510800,0.11219140210950300
101 Cannabis Co.,12/2020,35.160945457221400,0.040790180972910000
101 Cannabis Co.,01/2021,32.20681221290400,-0.08401745760538650
101 Cannabis Co.,02/2021,34.64359904065380,0.07566060284518020
101 Cannabis Co.,03/2021,35.44826664969660,0.02322702119079880
101 Cannabis Co.,04/2021,33.27581259353010,-0.06128519844524110
101 Cannabis Co.,05/2021,35.04426355551090,0.053145237460694000
101 Cannabis Co.,06/2021,38.496969705656000,0.09852414631787090
101 Cannabis Co.,07/2021,36.68515015165310,-0.047063952509921800
101 Cannabis Co.,08/2021,24.740100248209300,-0.3256099499133600
101 Cannabis Co.,09/2021,25.38960583155460,0.026253150829183200
10x Infused,09/2018,11.98083301087310,
10x Infused,10/2018,,-1
11:11,02/2020,7.062416573206310,
11:11,03/2020,9.037983448177250,0.2797295875275790
11:11,04/2020,10.281978079687000,0.13764072911205400
11:11,05/2020,10.50228504806830,0.021426516053021000
11:11,06/2020,15.972394715642100,0.5208494763318200
11:11,07/2020,43.42273286982790,1.71861130675058
11:11,08/2020,52.32460919846560,0.20500497643304900
11:11,09/2020,51.06508239171750,-0.02407140399215860
11:11,10/2020,41.08243583133430,-0.19548869976957800
11:11,11/2020,46.86160892773030,0.14067260081955000
11:11,12/2020,42.19302645461840,-0.09962488655290880
11:11,01/2021,43.6186496847039,0.033788124481159100
11:11,02/2021,35.01544360543200,-0.19723687325169300
11:11,03/2021,43.15488470665080,0.23245289115675200
11:11,04/2021,37.86544111381580,-0.12256882688461600
11:11,05/2021,34.885946623075100,-0.07868638006315470
11:11,06/2021,36.78750048054280,0.054507732813245700
11:11,07/2021,38.09429961897870,0.03552291189576870
11:11,08/2021,42.28471011943790,0.11000098551153300
11:11,09/2021,38.27986925686570,-0.0947113235791389
14er Holistics,11/2020,0.6525539258414010,
14er Holistics,12/2020,,-1
1964 Supply Co.,09/2018,10.634459049373800,
1964 Supply Co.,10/2018,7.126108683729720,-0.32990398001022000
1964 Supply Co.,11/2018,10.74523754632910,0.5078688837377080
1964 Supply Co.,12/2018,5.2690470094244900,-0.5096388528679340
1964 Supply Co.,01/2019,10.551350755726500,1.00251596481372
1964 Supply Co.,02/2019,10.711687506732000,0.015195850722565000
1964 Supply Co.,03/2019,8.965078621256550,-0.16305637037840400
1964 Supply Co.,04/2019,7.428570996287290,-0.17138808145264300
1964 Supply Co.,05/2019,,-1
19Forty LA,03/2020,11.38471391077200,
19Forty LA,04/2020,10.778881585058200,-0.05321454104705850
19Forty LA,05/2020,12.063294015319800,0.11916008355097100
19Forty LA,06/2020,15.395072153499400,0.2761914062567350
19Forty LA,07/2020,14.11723836374360,-0.08300278017634140
19Forty LA,08/2020,17.41109136485290,0.23332134205289700
19Forty LA,09/2020,16.488731101369000,-0.05297544215670690
19Forty LA,10/2020,6.630341675386110,-0.597886481705337
19Forty LA,11/2020,10.766942539965300,0.6238895470403140
19Forty LA,12/2020,9.980062768732020,-0.07308293587640730
19Forty LA,01/2021,26.804860017147600,1.685840824681820
19Forty LA,02/2021,,-1
1Lyfe,08/2019,9.63955075737163,
1Lyfe,09/2019,13.491231978332400,0.39957061463837100
1Lyfe,10/2019,13.140452922400600,-0.026000520671138000
1Lyfe,11/2019,13.799756996051600,0.05017361863737560
1Lyfe,12/2019,13.729658012944700,-0.0050797259058194400
1Lyfe,01/2020,13.597309000112800,-0.009639643806650070
1Lyfe,02/2020,13.847418280749000,0.018394027864937200
1Lyfe,03/2020,14.002568293492700,0.011204255522441400
1Lyfe,04/2020,14.051662328638500,0.0035060736085568500
1Lyfe,05/2020,12.972007944709700,-0.0768346376875515
1Lyfe,06/2020,13.41740590928660,0.03433531389089630
1Lyfe,07/2020,13.922831036322800,0.03766936250221270
1Lyfe,08/2020,12.941243594096800,-0.07050200061073710
1Lyfe,09/2020,12.427687778161500,-0.039683652672261300
1Lyfe,10/2020,12.605896345847800,0.014339639912695900
1Lyfe,11/2020,13.252006751673500,0.05125461832300100
1Lyfe,12/2020,12.848822826793600,-0.030424367602211200
1Lyfe,01/2021,10.913433247440800,-0.15062777387800600
1Lyfe,02/2021,10.943940318492700,0.00279536882301034
1Lyfe,03/2021,9.149414304301570,-0.16397439696914100
1Lyfe,04/2021,8.800486958857560,-0.03813657725390780
1Lyfe,05/2021,10.099179186698800,0.14757049625920500
1Lyfe,06/2021,10.342691336849500,0.02411207343180800
1Lyfe,07/2021,10.620769453069700,0.02688643672748900
1Lyfe,08/2021,8.989143413185170,-0.15362597287270100
1Lyfe,09/2021,7.198184441977670,-0.19923577685728500
215 Concentrates,12/2020,12.554307739413400,
215 Concentrates,01/2021,12.184607829989600,-0.029448052182369300
215 Concentrates,02/2021,11.865367689989100,-0.026200280259720100
215 Concentrates,03/2021,11.915744180524100,0.00424567462645726
215 Concentrates,04/2021,12.397814966199900,0.040456624309180700
215 Concentrates,05/2021,12.288989595833300,-0.008777786300513450
215 Concentrates,06/2021,12.004543721223500,-0.023146400474310400
215 Concentrates,07/2021,,-1
22 Red,06/2019,12.394621635520000,
22 Red,07/2019,16.638983872400500,0.34243580495568500
22 Red,08/2019,18.14407083472080,0.09045546133480340
22 Red,09/2019,20.695129135105900,0.14060010697838000
22 Red,10/2019,14.205855749509400,-0.3135652521533930
22 Red,11/2019,14.530439174061000,0.0228485654278736
22 Red,12/2019,15.55862976187470,0.0707611501274622
22 Red,01/2020,14.810985442870600,-0.04805335241257010
22 Red,02/2020,13.942800169417900,-0.05861765760296440
22 Red,03/2020,13.946461010661400,0.0002625614079670460
22 Red,04/2020,13.987427704611700,0.0029374257683669800
22 Red,05/2020,12.918674624031700,-0.07640812186129060
22 Red,06/2020,12.673818107672500,-0.018953687083633400
22 Red,07/2020,13.514702772481300,0.06634817208712770
22 Red,08/2020,15.002130081346000,0.11005993501339800
22 Red,09/2020,15.030004722066300,0.0018580455288094800
22 Red,10/2020,15.434618711186300,0.02692041663340380
22 Red,11/2020,15.671508444543000,0.015347948516857800
22 Red,12/2020,15.583083920951000,-0.005642374753194320
22 Red,01/2021,14.662193091035300,-0.05909554453965310
22 Red,02/2021,14.266138042460500,-0.02701199241584770
22 Red,03/2021,14.43358721622320,0.01173752653060570
22 Red,04/2021,11.008282336152000,-0.23731487043090800
22 Red,05/2021,12.98235271973570,0.17932592236489800
22 Red,06/2021,13.355826431388100,0.0287677988508694
22 Red,07/2021,12.877913701985100,-0.03578308926505390
22 Red,08/2021,13.024609177561600,0.011391245427731100
22 Red,09/2021,,-1
2Fly,01/2021,10,
2Fly,02/2021,6.198222217827450,-0.3801777782172550
2Fly,03/2021,7.256428626555420,0.17072740723692200
2Fly,04/2021,3.434689652188120,-0.526669408747628
2Fly,05/2021,3.912094999563090,0.13899519191518200
2Fly,06/2021,2.3222333484567300,-0.40639648354242900
2Fly,07/2021,,-1
3 Bros Grow,09/2018,11.992591575660700,
3 Bros Grow,10/2018,10.06982324879290,-0.1603296764287440
3 Bros Grow,11/2018,10.482327997039400,0.04096444774201280
3 Bros Grow,12/2018,8.367656292776350,-0.20173683792954500
3 Bros Grow,01/2019,10.386236513571400,0.24123603434066600
3 Bros Grow,02/2019,10.240558391097200,-0.014026074053279700
3 Bros Grow,03/2019,13.694347306628800,0.33726568255635200
3 Bros Grow,04/2019,11.354792229758800,-0.17084093345124100
3 Bros Grow,05/2019,12.435652185967200,0.0951897607933005
3 Bros Grow,06/2019,13.100048769424600,0.053426758285110400
3 Bros Grow,07/2019,10.533502989739600,-0.19591879578916700
3 Bros Grow,08/2019,13.308402032175400,0.2634355394533820
3 Bros Grow,09/2019,11.95649724303860,-0.10158280354533300
3 Bros Grow,10/2019,12.100159718408900,0.012015431647748600
3 Bros Grow,11/2019,15.652999830465200,0.2936192740209150
3 Bros Grow,12/2019,12.235725517717100,-0.21831433908899100
3 Bros Grow,01/2020,19.427416464112500,0.5877617094288350
3 Bros Grow,02/2020,14.918530781159700,-0.23208879530028800
3 Bros Grow,03/2020,11.30540785243310,-0.24219026536376500
3 Bros Grow,04/2020,9.447117817052520,-0.16437178203886300
3 Bros Grow,05/2020,11.62226231359350,0.23024424365860500
3 Bros Grow,06/2020,11.333449151644700,-0.024849995134858800
3 Bros Grow,07/2020,14.70961315626600,0.29789377968237000
3 Bros Grow,08/2020,14.723765310685500,0.0009621024203104390
3 Bros Grow,09/2020,10.335551327742900,-0.29803612665287300
3 Bros Grow,10/2020,12.888956579846300,0.24705070596955600
3 Bros Grow,11/2020,45.3705882293902,2.520113358154490
3 Bros Grow,12/2020,9.138923848990670,-0.7985716252391310
3 Bros Grow,01/2021,11.294553046186200,0.2358734171347370
3 Bros Grow,02/2021,,-1
3 Leaf,09/2018,5.507027001415190,
3 Leaf,10/2018,6.700142135211400,0.21665322023836100
3 Leaf,11/2018,6.5223332509844,-0.02653807645252060
3 Leaf,12/2018,6.370865444548910,-0.02322294807807110
