Months,Brand,Total Sales ($)
09/2018,10x Infused,"1,711.334232"
09/2018,1964 Supply Co.,"25,475.21594500000"
09/2018,3 Bros Grow,"120,153.644757"
09/2018,3 Leaf,"6,063.5297850000000"
09/2018,350 Fire,"631,510.0481550000"
09/2018,710 Labs,"2,065,970.9803990000"
09/2018,A&A Craft Inc,"5,094.305340000000"
09/2018,AA Packaging,"2,333.3399880000000"
09/2018,Absolute Xtracts,"5,747,227.563172000"
09/2018,Aces Extracts,"155,523.768684"
09/2018,AiroPro,"151,060.747957"
09/2018,AJA (CA),"12,785.251379"
09/2018,Alien Labs,"29,197.000878"
09/2018,Allegiance Wellness Center,"33,250.91435000000"
09/2018,Alpine Vapor,"80,399.679322"
09/2018,Altai Brands,"139,542.80868000000"
09/2018,Americanna (CA),"84,685.26265300000"
09/2018,Amplified,"669,382.4582060000"
09/2018,Apex Solutions,"171,976.48680700000"
09/2018,ApotheCanna,"267,548.134245"
09/2018,Arcturus Cannabis,"129,791.766049"
09/2018,Artisan Canna Cigars,"21,414.550611000000"
09/2018,Atlas Edibles,"275,809.29326400000"
09/2018,Autumn Brands,"179,108.218954"
09/2018,Awakened Topicals,"14,970.389663000000"
09/2018,Bake Your Own Brownies,458.9904
09/2018,Bakked,"125,589.195909"
09/2018,Bear Labs,"52,493.90229800000"
09/2018,Beboe,"262,002.40546400000"
09/2018,Bee Line Hemp Wick,472.739283
09/2018,Beezle Extract & Creamery ,"1,065,563.3851690000"
09/2018,BeLA Blunt,"41,208.504627"
09/2018,Bhang,"179,996.15518900000"
09/2018,Bic,"34,976.614042"
09/2018,Big Al's Exotics,"152,939.79335400000"
09/2018,Big Pete's Treats,"875,534.6455180000"
09/2018,Bio Hazard Inc.,"7,100.145174000010"
09/2018,Bird Valley Organics,"328,533.9971770000"
09/2018,Biscotti,"175,061.334371"
09/2018,Blank Bar,"45,662.73600500000"
09/2018,Blessed Extracts,"44,607.76040200000"
09/2018,Bloom Farms,"3,207,236.403927000"
09/2018,Blue River Extracts,"215,011.52873100000"
09/2018,Boveda,200.57021000000000
09/2018,Brass Knuckles,"710,688.2030670000"
09/2018,Breez,"945,197.9221960010"
09/2018,Brite Labs,"964,496.8325310000"
09/2018,Buena Vista,"358,653.99850900000"
09/2018,Butter Brand,"437,818.655593"
09/2018,Cali Buds,"112,221.01141700000"
09/2018,Cali Cans,"652,771.3539460000"
09/2018,Cali Connection,"8,210.595485"
09/2018,Cali Gold,"36,082.906213000000"
09/2018,Cali Kush Farms,"131,655.429318"
09/2018,Calibueno,"43,677.14047800000"
09/2018,California Bud Company,"543,515.9970729990"
09/2018,California Dreamin',"43,476.698158"
09/2018,California Platinum Farms,"30,087.379219000000"
09/2018,Caliva,"1,213,995.175647"
09/2018,Canna Hemp,"75,249.42860700000"
09/2018,Canna Living,"6,324.092570000000"
09/2018,CannaDips,"18,320.478007"
09/2018,CannaKids,"12,350.257980000000"
09/2018,Cannatique Farms,"79,201.34566900000"
09/2018,Cannawrap,"1,030.34772"
09/2018,Canndescent,"2,362,404.3876440000"
09/2018,Care By Design ,"3,537,256.232001000"
09/2018,Carter's Aromatherapy Designs,"31,844.778925"
09/2018,CBD Alive,"330,124.66268600000"
09/2018,CBD Living Water,"16,524.779249000000"
09/2018,CCELL,"57,728.404249"
09/2018,Centurion Extracts,"26,283.032980000000"
09/2018,Cheeba Chews,"852,514.8768570000"
09/2018,Cheech's Private Stash,"30,045.419549"
09/2018,Chemistry,"552,371.0941230000"
09/2018,Chill,"632,788.795256"
09/2018,Chong's Choice,"277,515.48677700000"
09/2018,Clarified Confections,"120,494.53082400000"
09/2018,Clipper Lighters,"5,618.882681"
09/2018,Cloudious9,"3,658.8772050000000"
09/2018,Coachella Premium Cannabis,"6,020.082838000000"
09/2018,Coast,"245,811.61379100000"
09/2018,Coastal Sun Cannabis,"271,486.369217"
09/2018,Cocoa Meds,"5,527.8490250000000"
09/2018,CocoCanna USA,"2,347.7430250000000"
09/2018,Concentrate,"1,513,595.7626430000"
09/2018,Connected Cannabis Co.,"95,658.322778"
09/2018,Cookies,"519,373.3252370000"
09/2018,Cosmic View,"110,957.76806900000"
09/2018,Cosmo D's Outrageous Edibles,"19,233.471315000000"
09/2018,CouchLock (CA),"25,672.988703000000"
09/2018,CQ,"419,576.10739000000"
09/2018,Craft Cannabis Connection,"33,692.620272"
09/2018,Cream of the Crop Gardens,"178,374.3078370000"
09/2018,Creme De Canna,"275,238.2920940000"
09/2018,Creme Genetics,"69,252.17991400000"
09/2018,Crockett Family Farms,"11,539.870923"
09/2018,CRU Cannabis,"304,936.7501810000"
09/2018,Curiously Cannabis,"139,780.771077"
09/2018,Cyclone,266.75246000000000
09/2018,Cypher,"151,677.49229000000"
09/2018,Cypress Cannabis,"590,447.8842580000"
09/2018,D. Cosmo,"97,222.046004"
09/2018,Dab Face Concentrates,"80,555.9602589999"
09/2018,Dabblicious (CA),"278,453.64706900000"
09/2018,Dark Heart Nursery,"342,759.87148300000"
09/2018,Day Dreamers Chocolate,"335,741.3970550000"
09/2018,De La Beuh,549.33628
09/2018,Decibel Gardens,"65,630.20570500000"
09/2018,Defonce,"88,823.35367900010"
09/2018,Delta 9,"106,000.91627900000"
09/2018,Dime Bag (CA),"390,097.165944"
09/2018,Dip n' Dabs,"151,405.66081300000"
09/2018,District Edibles,"2,477,722.0233800000"
09/2018,DNA Genetics,"8,377.884155"
09/2018,Dom Pen,"517,122.1801550000"
09/2018,Dosist,"3,995,500.258224"
09/2018,Dr. Delights,"135,832.95929200000"
09/2018,Dr. Kerklaan Therapeutics,"380,731.33486100000"
09/2018,Dr. Norm's,"120,858.718231"
09/2018,Dr. Raw Organics,"227,249.03890100000"
09/2018,Dr. Robb Farms,"80,544.423224"
09/2018,Eden Extracts,"461,054.4059430000"
09/2018,Edi Pure,"98,243.10383400000"
09/2018,Edibles,"1,345,893.9551120000"
09/2018,Eel River Organics,"197,931.32547600000"
09/2018,Elements,"11,308.723151000000"
09/2018,Elite Garden,"302,871.3691110000"
09/2018,Emerald Family Farms,"132,526.99903100000"
09/2018,Endo Brands,"1,912.6782250000000"
