Brands,Months,Total Units,vs. Prior Period
#BlackSeries,08/2020,"1,616.3390040000000",
#BlackSeries,09/2020,,-1
#BlackSeries,01/2021,715.5328380000000,
#BlackSeries,02/2021,766.669135,0.07146603801291950
#BlackSeries,03/2021,,-1
101 Cannabis Co.,11/2019,131.06772,
101 Cannabis Co.,12/2019,,-1
101 Cannabis Co.,01/2020,345.4134480000000,
101 Cannabis Co.,02/2020,696.6584310000000,1.016882767691200
101 Cannabis Co.,03/2020,943.3933280000000,0.3541691107446030
101 Cannabis Co.,04/2020,712.4981020000000,-0.24474969150937200
101 Cannabis Co.,05/2020,619.8410320000000,-0.13004535694889500
101 Cannabis Co.,06/2020,426.15045000000000,-0.3124842854869270
101 Cannabis Co.,07/2020,589.7193940000000,0.38382910073191300
101 Cannabis Co.,08/2020,"1,018.5741120000000",0.7272182708645990
101 Cannabis Co.,09/2020,"1,408.8506880000000",0.38315972436574300
101 Cannabis Co.,10/2020,"1,148.9629700000000",-0.18446789302345100
101 Cannabis Co.,11/2020,447.160529,-0.6108138028155950
101 Cannabis Co.,12/2020,337.96050500000000,-0.2442076545624630
101 Cannabis Co.,01/2021,250.23205000000000,-0.2595819739350910
101 Cannabis Co.,02/2021,395.82415900000000,0.5818283828949970
101 Cannabis Co.,03/2021,686.8574100000000,0.735258938553066
101 Cannabis Co.,04/2021,624.6255430000000,-0.09060376446983300
101 Cannabis Co.,05/2021,345.76183100000000,-0.44644942097733000
101 Cannabis Co.,06/2021,138.147966,-0.6004533941746740
101 Cannabis Co.,07/2021,291.781303,1.1120926456492300
101 Cannabis Co.,08/2021,421.257001,0.4437422709021220
101 Cannabis Co.,09/2021,483.53665100000000,0.14784240938941600
10x Infused,08/2018,855.8260480000000,
10x Infused,09/2018,142.839336,-0.8330976997792900
10x Infused,10/2018,,-1
11:11,02/2020,"9,864.588624",
11:11,03/2020,"19,101.379754000000",0.9363584719110730
11:11,04/2020,"13,929.993549000000",-0.27073364707683300
11:11,05/2020,"5,948.6901780000000",-0.5729581527030180
11:11,06/2020,"1,533.280710000000",-0.7422490222014720
11:11,07/2020,580.6975670000000,-0.6212711976269500
11:11,08/2020,466.1271360000000,-0.19729793529512100
11:11,09/2020,385.75673600000000,-0.17242162876353100
11:11,10/2020,778.0696690000000,1.016995677296480
11:11,11/2020,"1,366.1909970000000",0.7558723227906710
11:11,12/2020,"3,243.781658000000",1.3743251603348100
11:11,01/2021,"1,988.5679350000000",-0.38695999155933300
11:11,02/2021,"2,802.281319",0.4091956677356360
