"Products","Months","Total Sales ($)"
"Flower - Strain Blends - Flower (Gram)","07/2020","22,738,489.622206017"
"Flower - Strain Blends - Flower (Gram)","03/2021","22,648,507.64839804"
"Flower - Strain Blends - Flower (Gram)","05/2021","22,338,755.88508607"
"Flower - Strain Blends - Flower (Gram)","09/2020","21,461,950.605336975"
"Flower - Strain Blends - Flower (Gram)","06/2021","21,347,569.064233065"
"Flower - Strain Blends - Flower (Gram)","08/2020","21,332,581.22887905"
"Flower - Strain Blends - Flower (Gram)","04/2021","20,440,549.920127075"
"Flower - Strain Blends - Flower (Gram)","07/2021","20,284,791.425795045"
"Flower - Strain Blends - Flower (Gram)","10/2020","20,145,156.749391"
"Flower - Strain Blends - Flower (Gram)","05/2020","20,120,357.907100897"
"Flower - Strain Blends - Flower (Gram)","08/2021","19,645,681.99653805"
"Flower - Strain Blends - Flower (Gram)","12/2020","19,626,133.831688933"
"Flower - Strain Blends - Flower (Gram)","09/2019","19,599,399.414727997"
"Flower - Strain Blends - Flower (Gram)","01/2021","19,341,965.888459004"
"Flower - Strain Blends - Flower (Gram)","11/2020","19,152,570.93591197"
"Flower - Strain Blends - Flower (Gram)","03/2020","19,029,532.245354988"
"Flower - Strain Blends - Flower (Gram)","10/2018","18,889,378.853218053"
"Flower - Strain Blends - Flower (Gram)","07/2019","18,849,659.682143025"
"Flower - Strain Blends - Flower (Gram)","08/2019","18,829,663.556169994"
"Flower - Strain Blends - Flower (Gram)","09/2021","18,676,827.833634995"
"Flower - Strain Blends - Flower (Gram)","06/2020","18,422,762.776518986"
"Flower - Strain Blends - Flower (Gram)","12/2019","18,272,015.961265065"
"Flower - Strain Blends - Flower (Gram)","12/2018","18,061,149.20891308"
"Flower - Strain Blends - Flower (Gram)","05/2019","18,024,091.864075977"
"Flower - Strain Blends - Flower (Gram)","02/2021","17,829,548.019310005"
"Flower - Strain Blends - Flower (Gram)","01/2020","17,568,039.760375023"
"Flower - Strain Blends - Flower (Gram)","10/2019","17,523,898.68817294"
"Flower - Strain Blends - Flower (Gram)","06/2019","16,895,348.91526799"
"Flower - Strain Blends - Flower (Gram)","11/2019","16,682,580.719445007"
"Flower - Strain Blends - Flower (Gram)","04/2020","16,659,653.797778945"
"Flower - Strain Blends - Flower (Gram)","01/2019","16,503,242.85184802"
"Flower - Strain Blends - Flower (Gram)","02/2020","16,502,105.65770699"
"Flower - Strain Blends - Flower (Gram)","03/2019","16,468,687.049222995"
"Flower - Strain Blends - Flower (Gram)","04/2019","15,755,920.947812986"
"Flower - Strain Blends - Flower (Gram)","11/2018","15,669,022.451575108"
"Flower - Strain Blends - Flower (Gram)","02/2019","14,747,898.085698009"
"Flower - Indica Strain Blends - Flower (Gram)","10/2018","5,933,965.696672006"
"Flower - Indica Strain Blends - Flower (Gram)","12/2018","5,758,526.582102008"
